Treatment,EWblock,Aspect,Block,Brix of juice (2001 harvest),Brix of juice (2002 harvest),Brix of juice (2003 harvest),pH of juice (2001 harvest),pH of juice (2002 harvest),pH of juice (2003 harvest),Titration of tartaric acid in juice (2001 harvest),Titration of tartaric acid in juice (2002 harvest),Titration of tartaric acid in juice (2003 harvest)
1,1,2,1,25.4,24,22.7,3.22,3.27,3.2,9.30,7.35,8.9
1,1,1,2,25.6,25.2,23.2,3.22,3.41,3.23,10.07,7.11,9.8
1,2,2,3,27,25.8,24.4,3.23,3.32,3.25,10.10,7.56,9.6
1,2,1,4,26.8,26,23.7,3.26,3.34,3.26,9.75,7.73,9.5
1,3,2,5,28.4,25.6,24.7,3.3,3.27,3.26,10.18,8.09,9.4
1,3,1,6,27.2,25.5,24.5,3.32,3.33,3.31,9.89,8.09,9.7
2,1,2,1,26.4,25.3,23.4,3.23,3.39,3.29,10.00,7.9,10.2
2,1,1,2,25.4,25.8,23.4,3.13,3.38,3.23,9.75,7.68,10.4
2,2,2,3,25,25,23.4,3.19,3.38,3.32,10.28,7.52,9.5
2,2,1,4,25.2,24.6,23.2,3.12,3.41,3.24,9.22,7.49,9.8
2,3,2,5,28.2,25.3,24.4,3.365,3.27,3.35,9.11,7.91,9.5
2,3,1,6,28.4,25.7,24.2,3.31,3.28,3.33,10.32,9.88,8.4
3,1,2,1,25.4,24,23.2,3.16,3.37,3.37,9.83,8.42,9.6
3,1,1,2,25.6,25,22.2,3.21,3.5,3.31,9.63,7.46,10.7
3,2,2,3,24.4,24.7,23.7,3.32,3.37,3.32,9.47,7.34,9.5
3,2,1,4,25.6,24.6,22.7,3.32,3.39,3.37,9.70,8.03,10.3
3,3,2,5,25.6,24.6,24.2,3.21,3.33,3.34,9.83,8.15,9.2
3,3,1,6,24.8,24.1,23.7,3.25,3.37,3.29,9.53,7.64,11.6