Treatment,EWblock,Aspect,Block,"Mean Vine growth stage, 15 September 2001","Mean Vine growth stage, 22 September 2001","Mean Vine growth stage, 29 September 2001","Mean Vine growth stage, 6 October 2001","Mean Vine growth stage, 20 September 2002","Mean Vine growth stage, 27 September 2002"
1,1,2,1,3.5,5,8.5,11,4.4,5
1,1,1,2,4.6,8.4,9.8,12.3,4.2,4.7
1,2,2,3,4,6.4,9.5,11.8,3.1,4.2
1,2,1,4,3.7,5.4,8.8,10.2,3.1,3.7
1,3,2,5,4.1,6.9,9.8,12.5,3.3,3.8
1,3,1,6,3.9,6.3,9.2,12.1,3.6,4.8
2,1,2,1,3.9,6.6,9.2,12.1,4,4.6
2,1,1,2,3.4,5.3,7.7,10.9,4.4,4.8
2,2,2,3,3.8,6.6,9.6,11,3.4,4.1
2,2,1,4,3.5,6.5,9.2,12.3,3.2,4.2
2,3,2,5,3.5,5.4,9.6,11.4,3.6,4.1
2,3,1,6,3.7,4.9,9,11.9,3.9,5.1
3,1,2,1,3,4.2,6.7,8.7,3.8,4.1
3,1,1,2,3.5,5.9,8.5,10.2,3.4,4.2
3,2,2,3,4,6,9,12.1,3.2,3.7
3,2,1,4,3.9,6.6,9,10.9,2.9,4
3,3,2,5,3.8,5.7,9,11.8,3.1,3.6
3,3,1,6,3.5,5.4,9.6,12,3.2,4.1