"","Treatment","EWblock","Aspect","Block","Row","Panel","Vine","Trunk.diameter.2000.cm","Trunk.diameter.2001.cm","Trunk.diameter.2002.cm","Trunk.diameter.2003.cm"
"1","Herbicide","Block 1","South","Block 1, South",8,7,1,3.33,3.33,3.33,3.33
"2","Herbicide","Block 1","South","Block 1, South",8,7,2,3.36,3.36,3.36,3.36
"3","Herbicide","Block 1","South","Block 1, South",8,7,3,3.41,3.41,3.41,3.41
"4","Herbicide","Block 1","South","Block 1, South",9,8,1,3.67,3.67,3.67,3.67
"5","Herbicide","Block 1","South","Block 1, South",9,8,2,2.96,2.96,2.96,2.96
"6","Herbicide","Block 1","South","Block 1, South",9,8,3,3.43,3.43,3.43,3.43
"7","Herbicide","Block 1","South","Block 1, South",10,9,1,3.11,3.11,3.11,3.11
"8","Herbicide","Block 1","South","Block 1, South",10,9,2,3.59,3.59,3.59,3.59
"9","Herbicide","Block 1","South","Block 1, South",10,9,3,3.77,3.77,3.77,3.77
"10","Straw","Block 1","South","Block 1, South",14,10,1,3.47,3.47,3.47,3.47
"11","Straw","Block 1","South","Block 1, South",14,10,2,3.13,3.13,3.13,3.13
"12","Straw","Block 1","South","Block 1, South",14,10,3,3.98,3.98,3.98,3.98
"13","Straw","Block 1","South","Block 1, South",15,10,1,3.53,3.53,3.53,3.53
"14","Straw","Block 1","South","Block 1, South",15,10,2,3.87,3.87,3.87,3.87
"15","Straw","Block 1","South","Block 1, South",15,10,3,3.87,3.87,3.87,3.87
"16","Straw","Block 1","South","Block 1, South",16,10,1,3.54,3.54,3.54,3.54
"17","Straw","Block 1","South","Block 1, South",16,10,2,3.44,3.44,3.44,3.44
"18","Straw","Block 1","South","Block 1, South",16,10,3,3.69,3.69,3.69,3.69
"19","Compost","Block 1","South","Block 1, South",20,9,1,3.6,3.6,3.6,3.6
"20","Compost","Block 1","South","Block 1, South",20,9,2,3.19,3.19,3.19,3.19
"21","Compost","Block 1","South","Block 1, South",20,9,3,3.59,3.59,3.59,3.59
"22","Compost","Block 1","South","Block 1, South",21,9,1,3.4,3.4,3.4,3.4
"23","Compost","Block 1","South","Block 1, South",21,9,2,3.18,3.18,3.18,3.18
"24","Compost","Block 1","South","Block 1, South",21,9,3,3.34,3.34,3.34,3.34
"25","Compost","Block 1","South","Block 1, South",22,8,3,3.06,3.06,3.06,3.06
"26","Compost","Block 1","South","Block 1, South",22,9,1,3.63,3.63,3.63,3.63
"27","Compost","Block 1","South","Block 1, South",22,9,2,3.02,3.02,3.02,3.02
"28","Herbicide","Block 1","North","Block 1, North",9,25,1,2.28,2.28,2.28,2.28
"29","Herbicide","Block 1","North","Block 1, North",9,25,2,2.87,2.87,2.87,2.87
"30","Herbicide","Block 1","North","Block 1, North",9,25,3,2.74,2.74,2.74,2.74
"31","Herbicide","Block 1","North","Block 1, North",10,26,1,4.08,4.08,4.08,4.08
"32","Herbicide","Block 1","North","Block 1, North",10,26,2,3.46,3.46,3.46,3.46
"33","Herbicide","Block 1","North","Block 1, North",10,26,3,3.46,3.46,3.46,3.46
"34","Herbicide","Block 1","North","Block 1, North",11,26,2,2.26,2.26,2.26,2.26
"35","Herbicide","Block 1","North","Block 1, North",11,26,3,3.04,3.04,3.04,3.04
"36","Herbicide","Block 1","North","Block 1, North",11,27,1,3.5,3.5,3.5,3.5
"37","Straw","Block 1","North","Block 1, North",15,28,1,3.41,3.41,3.41,3.41
"38","Straw","Block 1","North","Block 1, North",15,28,2,2.72,2.72,2.72,2.72
"39","Straw","Block 1","North","Block 1, North",15,28,3,3.2,3.2,3.2,3.2
"40","Straw","Block 1","North","Block 1, North",16,27,3,3.17,3.17,3.17,3.17
"41","Straw","Block 1","North","Block 1, North",16,28,1,3.38,3.38,3.38,3.38
"42","Straw","Block 1","North","Block 1, North",16,28,2,3.08,3.08,3.08,3.08
"43","Straw","Block 1","North","Block 1, North",17,27,1,3.19,3.19,3.19,3.19
"44","Straw","Block 1","North","Block 1, North",17,27,2,3.61,3.61,3.61,3.61
"45","Straw","Block 1","North","Block 1, North",17,27,3,2.9,2.9,2.9,2.9
"46","Compost","Block 1","North","Block 1, North",21,21,1,3.29,3.29,3.29,3.29
"47","Compost","Block 1","North","Block 1, North",21,21,2,3.36,3.36,3.36,3.36
"48","Compost","Block 1","North","Block 1, North",21,21,3,2.83,2.83,2.83,2.83
"49","Compost","Block 1","North","Block 1, North",22,21,1,2.96,2.96,2.96,2.96
"50","Compost","Block 1","North","Block 1, North",22,21,2,2.84,2.84,2.84,2.84
"51","Compost","Block 1","North","Block 1, North",22,21,3,3.1,3.1,3.1,3.1
"52","Compost","Block 1","North","Block 1, North",23,21,1,3.21,3.21,3.21,3.21
"53","Compost","Block 1","North","Block 1, North",23,21,2,2.68,2.68,2.68,2.68
"54","Compost","Block 1","North","Block 1, North",23,21,3,3.07,3.07,3.07,3.07
"55","Compost","Block 2","South","Block 2, South",26,8,1,3.51,3.51,3.51,3.51
"56","Compost","Block 2","South","Block 2, South",26,8,3,3.73,3.73,3.73,3.73
"57","Compost","Block 2","South","Block 2, South",26,9,1,2.62,2.62,2.62,2.62
"58","Compost","Block 2","South","Block 2, South",27,9,1,2.77,2.77,2.77,2.77
"59","Compost","Block 2","South","Block 2, South",27,9,2,3.28,3.28,3.28,3.28
"60","Compost","Block 2","South","Block 2, South",27,9,3,3.15,3.15,3.15,3.15
"61","Compost","Block 2","South","Block 2, South",28,9,1,2.89,2.89,2.89,2.89
"62","Compost","Block 2","South","Block 2, South",28,9,2,3.66,3.66,3.66,3.66
"63","Compost","Block 2","South","Block 2, South",28,9,3,4.38,4.38,4.38,4.38
"64","Herbicide","Block 2","South","Block 2, South",32,7,1,2.59,2.59,2.59,2.59
"65","Herbicide","Block 2","South","Block 2, South",32,7,2,3.84,3.84,3.84,3.84
"66","Herbicide","Block 2","South","Block 2, South",32,7,3,2.53,2.53,2.53,2.53
"67","Herbicide","Block 2","South","Block 2, South",33,7,1,2.75,2.75,2.75,2.75
"68","Herbicide","Block 2","South","Block 2, South",33,7,3,3.68,3.68,3.68,3.68
"69","Herbicide","Block 2","South","Block 2, South",33,8,1,2.74,2.74,2.74,2.74
"70","Herbicide","Block 2","South","Block 2, South",34,6,3,2.72,2.72,2.72,2.72
"71","Herbicide","Block 2","South","Block 2, South",34,7,1,3.44,3.44,3.44,3.44
"72","Herbicide","Block 2","South","Block 2, South",34,7,3,3.33,3.33,3.33,3.33
"73","Straw","Block 2","South","Block 2, South",38,13,1,2.78,2.78,2.78,2.78
"74","Straw","Block 2","South","Block 2, South",38,13,2,3.4,3.4,3.4,3.4
"75","Straw","Block 2","South","Block 2, South",38,13,3,2.57,2.57,2.57,2.57
"76","Straw","Block 2","South","Block 2, South",39,13,1,2.95,2.95,2.95,2.95
"77","Straw","Block 2","South","Block 2, South",39,13,2,4.1,4.1,4.1,4.1
"78","Straw","Block 2","South","Block 2, South",39,13,3,3.77,3.77,3.77,3.77
"79","Straw","Block 2","South","Block 2, South",40,12,1,3,3,3,3
"80","Straw","Block 2","South","Block 2, South",40,13,1,2.78,2.78,2.78,2.78
"81","Straw","Block 2","South","Block 2, South",40,13,3,2.79,2.79,2.79,2.79
"82","Compost","Block 2","North","Block 2, North",27,21,1,3.12,3.12,3.12,3.12
"83","Compost","Block 2","North","Block 2, North",27,21,2,3.46,3.46,3.46,3.46
"84","Compost","Block 2","North","Block 2, North",27,21,3,3.31,3.31,3.31,3.31
"85","Compost","Block 2","North","Block 2, North",28,21,1,3.16,3.16,3.16,3.16
"86","Compost","Block 2","North","Block 2, North",28,21,2,3.39,3.39,3.39,3.39
"87","Compost","Block 2","North","Block 2, North",28,21,3,3.28,3.28,3.28,3.28
"88","Compost","Block 2","North","Block 2, North",29,21,1,2.8,2.8,2.8,2.8
"89","Compost","Block 2","North","Block 2, North",29,21,2,2.75,2.75,2.75,2.75
"90","Compost","Block 2","North","Block 2, North",29,21,3,3.09,3.09,3.09,3.09
"91","Herbicide","Block 2","North","Block 2, North",33,24,3,3.39,3.39,3.39,3.39
"92","Herbicide","Block 2","North","Block 2, North",33,25,1,3.1,3.1,3.1,3.1
"93","Herbicide","Block 2","North","Block 2, North",33,25,2,2.66,2.66,2.66,2.66
"94","Herbicide","Block 2","North","Block 2, North",34,25,1,3.21,3.21,3.21,3.21
"95","Herbicide","Block 2","North","Block 2, North",34,25,2,3.05,3.05,3.05,3.05
"96","Herbicide","Block 2","North","Block 2, North",34,25,3,2.65,2.65,2.65,2.65
"97","Herbicide","Block 2","North","Block 2, North",35,24,1,2.89,2.89,2.89,2.89
"98","Herbicide","Block 2","North","Block 2, North",35,24,2,3.03,3.03,3.03,3.03
"99","Herbicide","Block 2","North","Block 2, North",35,24,3,3.08,3.08,3.08,3.08
"100","Straw","Block 2","North","Block 2, North",39,25,1,2.78,2.78,2.78,2.78
"101","Straw","Block 2","North","Block 2, North",39,25,2,5.04,5.04,5.04,5.04
"102","Straw","Block 2","North","Block 2, North",39,25,3,2.49,2.49,2.49,2.49
"103","Straw","Block 2","North","Block 2, North",40,25,2,3.27,3.27,3.27,3.27
"104","Straw","Block 2","North","Block 2, North",40,25,3,2.67,2.67,2.67,2.67
"105","Straw","Block 2","North","Block 2, North",40,25,4,2.47,2.47,2.47,2.47
"106","Straw","Block 2","North","Block 2, North",41,23,1,2.52,2.52,2.52,2.52
"107","Straw","Block 2","North","Block 2, North",41,23,3,3.39,3.39,3.39,3.39
"108","Straw","Block 2","North","Block 2, North",41,24,2,2.19,2.19,2.19,2.19
"109","Straw","Block 3","South","Block 3, South",44,11,1,2.84,2.84,2.84,2.84
"110","Straw","Block 3","South","Block 3, South",44,11,2,3.75,3.75,3.75,3.75
"111","Straw","Block 3","South","Block 3, South",44,11,3,2.83,2.83,2.83,2.83
"112","Straw","Block 3","South","Block 3, South",45,11,1,2.62,2.62,2.62,2.62
"113","Straw","Block 3","South","Block 3, South",45,11,2,3.16,3.16,3.16,3.16
"114","Straw","Block 3","South","Block 3, South",45,11,3,3.26,3.26,3.26,3.26
"115","Straw","Block 3","South","Block 3, South",46,10,3,3.13,3.13,3.13,3.13
"116","Straw","Block 3","South","Block 3, South",46,11,1,2.55,2.55,2.55,2.55
"117","Straw","Block 3","South","Block 3, South",46,11,2,2.85,2.85,2.85,2.85
"118","Herbicide","Block 3","South","Block 3, South",50,12,3,3.03,3.03,3.03,3.03
"119","Herbicide","Block 3","South","Block 3, South",50,13,1,2.79,2.79,2.79,2.79
"120","Herbicide","Block 3","South","Block 3, South",50,14,1,2.87,2.87,2.87,2.87
"121","Herbicide","Block 3","South","Block 3, South",51,13,1,2.46,2.46,2.46,2.46
"122","Herbicide","Block 3","South","Block 3, South",51,13,2,2.19,2.19,2.19,2.19
"123","Herbicide","Block 3","South","Block 3, South",51,13,3,2.5,2.5,2.5,2.5
"124","Herbicide","Block 3","South","Block 3, South",52,14,1,2.73,2.73,2.73,2.73
"125","Herbicide","Block 3","South","Block 3, South",52,14,2,2.84,2.84,2.84,2.84
"126","Herbicide","Block 3","South","Block 3, South",52,14,3,2.35,2.35,2.35,2.35
"127","Compost","Block 3","South","Block 3, South",56,10,1,2.33,2.33,2.33,2.33
"128","Compost","Block 3","South","Block 3, South",56,10,2,2.46,2.46,2.46,2.46
"129","Compost","Block 3","South","Block 3, South",56,10,3,2.85,2.85,2.85,2.85
"130","Compost","Block 3","South","Block 3, South",57,10,4,2.88,2.88,2.88,2.88
"131","Compost","Block 3","South","Block 3, South",57,10,2,2.54,2.54,2.54,2.54
"132","Compost","Block 3","South","Block 3, South",57,10,3,2.05,2.05,2.05,2.05
"133","Compost","Block 3","South","Block 3, South",58,10,1,1.99,1.99,1.99,1.99
"134","Compost","Block 3","South","Block 3, South",58,10,2,1.79,1.79,1.79,1.79
"135","Compost","Block 3","South","Block 3, South",58,10,3,2.13,2.13,2.13,2.13
"136","Straw","Block 3","North","Block 3, North",45,25,1,2.41,2.41,2.41,2.41
"137","Straw","Block 3","North","Block 3, North",45,25,2,2.26,2.26,2.26,2.26
"138","Straw","Block 3","North","Block 3, North",45,25,3,2.19,2.19,2.19,2.19
"139","Straw","Block 3","North","Block 3, North",46,26,1,2.86,2.86,2.86,2.86
"140","Straw","Block 3","North","Block 3, North",46,26,2,2.19,2.19,2.19,2.19
"141","Straw","Block 3","North","Block 3, North",46,26,3,2.66,2.66,2.66,2.66
"142","Straw","Block 3","North","Block 3, North",47,26,1,2.4,2.4,2.4,2.4
"143","Straw","Block 3","North","Block 3, North",47,26,2,2.52,2.52,2.52,2.52
"144","Straw","Block 3","North","Block 3, North",47,26,3,2.67,2.67,2.67,2.67
"145","Herbicide","Block 3","North","Block 3, North",51,25,1,2.92,2.92,2.92,2.92
"146","Herbicide","Block 3","North","Block 3, North",51,25,2,2.98,2.98,2.98,2.98
"147","Herbicide","Block 3","North","Block 3, North",51,25,3,2.13,2.13,2.13,2.13
"148","Herbicide","Block 3","North","Block 3, North",52,27,2,3.31,3.31,3.31,3.31
"149","Herbicide","Block 3","North","Block 3, North",52,27,3,3.1,3.1,3.1,3.1
"150","Herbicide","Block 3","North","Block 3, North",52,27,4,2.72,2.72,2.72,2.72
"151","Herbicide","Block 3","North","Block 3, North",53,25,2,3.88,3.88,3.88,3.88
"152","Herbicide","Block 3","North","Block 3, North",53,25,3,2.24,2.24,2.24,2.24
"153","Herbicide","Block 3","North","Block 3, North",53,26,3,1.66,1.66,1.66,1.66
"154","Compost","Block 3","North","Block 3, North",57,20,1,3.79,3.79,3.79,3.79
"155","Compost","Block 3","North","Block 3, North",57,20,2,2.9,2.9,2.9,2.9
"156","Compost","Block 3","North","Block 3, North",57,20,3,2.53,2.53,2.53,2.53
"157","Compost","Block 3","North","Block 3, North",58,19,3,3.22,3.22,3.22,3.22
"158","Compost","Block 3","North","Block 3, North",58,20,1,3.14,3.14,3.14,3.14
"159","Compost","Block 3","North","Block 3, North",58,20,2,2.77,2.77,2.77,2.77
"160","Compost","Block 3","North","Block 3, North",59,19,3,2.88,2.88,2.88,2.88
"161","Compost","Block 3","North","Block 3, North",59,20,1,2.6,2.6,2.6,2.6
"162","Compost","Block 3","North","Block 3, North",59,20,3,2.76,2.76,2.76,2.76
